Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Celerio,Maruti,Mumbai,2014,66046,Petrol,Manual,2,0,998,68,5.0,305000
Maruti Celerio,Maruti,Mumbai,2017,79682,CNG,Manual,1,0,998,59,5.0,406000
Honda Jazz,Honda,Mumbai,2017,25602,Petrol,Manual,2,0,1199,90,5.0,444000
Hyundai Creta,Hyundai,Mumbai,2018,107774,Diesel,Automatic,1,0,1582,128,5.0,1026000
Maruti Ciaz,Maruti,Mumbai,2020,28132,Petrol,Automatic,1,0,1462,105,5.0,814000
Hyundai Grand i10,Hyundai,Mumbai,2014,56392,Petrol,Manual,1,0,1197,83,5.0,327000
Hyundai i10,Hyundai,Mumbai,2013,69725,Petrol,Manual,2,0,1197,80,5.0,251000
Hyundai Creta,Hyundai,Mumbai,2019,70430,Petrol,Manual,2,0,1591,123,5.0,838000
Honda City,Honda,Mumbai,2015,75533,Petrol,Manual,1,0,1497,119,5.0,549000
Maruti Swift,Maruti,Mumbai,2017,47322,Petrol,Manual,1,0,1197,84,5.0,486000
Hyundai Grand i10,Hyundai,Mumbai,2017,21635,Petrol,Manual,1,0,1197,83,5.0,449000
Maruti Swift,Maruti,Mumbai,2014,69389,Petrol,Manual,1,0,1197,87,5.0,333000
Honda City,Honda,Mumbai,2017,45676,Petrol,Automatic,1,0,1497,119,5.0,723300
Maruti New Wagon-R,Maruti,Mumbai,2021,13106,CNG,Manual,1,0,998,58,5.0,596000
Maruti Swift,Maruti,Mumbai,2017,57535,Petrol,Manual,2,0,1197,84,5.0,492000
Honda City,Honda,Mumbai,2015,61177,Petrol,Manual,2,0,1497,119,5.0,470000
Maruti Ertiga,Maruti,Mumbai,2016,68384,Diesel,Manual,1,0,1248,90,7.0,708000
Maruti New Wagon-R,Maruti,Mumbai,2021,19622,CNG,Manual,1,0,998,58,5.0,610000
Maruti Wagon R 1.0,Maruti,Mumbai,2017,62850,CNG,Manual,3,0,998,59,5.0,348000
Renault Kwid,Renault,Mumbai,2023,12014,Petrol,Automatic,1,0,999,68,5.0,564000
Maruti Ciaz,Maruti,Mumbai,2018,18001,Petrol,Manual,1,0,1462,105,5.0,740000
Tata ALTROZ,Tata,Mumbai,2020,71356,Petrol,Manual,1,0,1199,86,5.0,690000
Maruti Wagon R 1.0,Maruti,Mumbai,2012,43569,Petrol,Manual,2,0,998,68,5.0,249325
Honda City,Honda,Mumbai,2020,44722,Petrol,Manual,1,0,1497,119,5.0,893000
Renault Duster,Renault,Mumbai,2017,31113,Petrol,Automatic,1,0,1498,106,5.0,615000
Hyundai Creta,Hyundai,Mumbai,2016,45568,Petrol,Manual,1,0,1591,123,5.0,668000
Maruti Celerio,Maruti,Mumbai,2016,33655,Petrol,Manual,1,0,998,68,5.0,367000
Honda WR-V,Honda,Mumbai,2017,87905,Petrol,Manual,2,0,1199,90,5.0,567000
Volkswagen Vento,Volkswagen,Mumbai,2012,93393,Petrol,Manual,1,0,1598,105,5.0,313000
Maruti BREZZA,Maruti,Mumbai,2023,10234,Petrol,Manual,1,0,1462,103,5.0,1231200
Maruti Wagon R 1.0,Maruti,Mumbai,2014,67447,Petrol,Manual,1,0,998,68,5.0,292000
Honda City,Honda,Mumbai,2017,33613,Petrol,Automatic,1,0,1497,119,5.0,785000
Hyundai Elite i20,Hyundai,Mumbai,2016,52544,Petrol,Manual,3,0,1197,83,5.0,428000
Hyundai AURA,Hyundai,Mumbai,2022,20883,Petrol,Automatic,1,0,1197,83,5.0,802000
Hyundai Grand i10,Hyundai,Mumbai,2017,44823,Petrol,Manual,1,0,1197,83,5.0,453000
Skoda Rapid,Skoda,Mumbai,2018,59417,Petrol,Manual,1,0,1598,105,5.0,697000
Honda Brio,Honda,Mumbai,2014,69196,Petrol,Automatic,2,0,1198,88,5.0,338400
Maruti S Cross,Maruti,Mumbai,2020,29624,Petrol,Automatic,1,0,1462,105,5.0,1006000
Hyundai Grand i10,Hyundai,Mumbai,2018,45213,Petrol,Manual,1,0,1197,83,5.0,472000
Hyundai Creta,Hyundai,Mumbai,2017,23252,Petrol,Manual,2,0,1591,123,5.0,746000
Honda City,Honda,Mumbai,2021,22827,Petrol,Automatic,1,0,1498,121,5.0,1290000
Jeep Compass,Jeep,Mumbai,2017,66096,Diesel,Manual,2,0,1956,173,5.0,903000
Hyundai Grand i10,Hyundai,Mumbai,2018,65001,Petrol,Automatic,1,0,1197,83,5.0,529000
Honda City,Honda,Mumbai,2017,68950,Petrol,Automatic,1,0,1497,119,5.0,654300
Maruti Baleno,Maruti,Mumbai,2018,54530,Petrol,Manual,1,0,1197,84,5.0,507300
Maruti New Wagon-R,Maruti,Mumbai,2023,1958,Petrol,Manual,1,0,998,67,5.0,589000
Honda WR-V,Honda,Mumbai,2019,70985,Petrol,Manual,1,0,1199,90,5.0,654000
Maruti S PRESSO,Maruti,Mumbai,2021,12655,Petrol,Manual,1,0,998,68,5.0,405000
Hyundai Creta,Hyundai,Mumbai,2017,90305,Petrol,Automatic,1,0,1591,123,5.0,836000
Toyota Corolla Altis,Toyota,Mumbai,2018,74221,Petrol,Automatic,1,0,1798,140,5.0,958000
Tata ALTROZ,Tata,Mumbai,2020,11670,Petrol,Manual,1,0,1199,86,5.0,693000
Hyundai Xcent,Hyundai,Mumbai,2015,65203,Petrol,Manual,2,0,1197,83,5.0,348000
Toyota Corolla Altis,Toyota,Mumbai,2017,56595,Petrol,Automatic,1,0,1798,140,5.0,1012000
Maruti New Wagon-R,Maruti,Mumbai,2020,12950,CNG,Manual,2,0,998,58,5.0,526000
Tata NEXON,Tata,Mumbai,2019,61806,Petrol,Automatic,1,0,1198,110,5.0,773000
Maruti New Wagon-R,Maruti,Mumbai,2020,24495,Petrol,Automatic,1,0,1197,83,5.0,549000
Toyota Glanza,Toyota,Mumbai,2019,16870,Petrol,Automatic,2,0,1197,83,5.0,679000
Toyota Corolla Altis,Toyota,Mumbai,2018,77581,Petrol,Automatic,2,0,1798,140,5.0,980200
Mahindra XUV300,Mahindra,Mumbai,2019,51938,Diesel,Manual,1,0,1497,117,5.0,866000
Volkswagen Vento,Volkswagen,Mumbai,2018,70205,Diesel,Automatic,2,0,1498,110,5.0,802000
Maruti New Wagon-R,Maruti,Mumbai,2021,39613,CNG,Manual,1,0,998,58,5.0,574000
Maruti Wagon R 1.0,Maruti,Mumbai,2015,30942,Petrol,Manual,2,0,998,68,5.0,307000
Maruti Wagon R 1.0,Maruti,Mumbai,2013,75349,CNG,Manual,2,0,998,59,5.0,281200
Honda BR-V,Honda,Mumbai,2018,106523,Petrol,Manual,1,0,1497,119,7.0,739000
Jeep Compass,Jeep,Mumbai,2021,21250,Petrol,Automatic,2,0,1368,163,5.0,1489000
Maruti Wagon R 1.0,Maruti,Mumbai,2015,28048,Petrol,Manual,2,0,998,68,5.0,318000
Maruti Wagon R 1.0,Maruti,Mumbai,2013,68427,Petrol,Manual,1,0,998,68,5.0,268000
Toyota Glanza,Toyota,Mumbai,2020,56916,Petrol,Automatic,1,0,1197,83,5.0,682800
Tata ALTROZ,Tata,Mumbai,2022,2973,Petrol,Automatic,1,0,1199,86,5.0,895000
Maruti S PRESSO,Maruti,Mumbai,2019,21125,Petrol,Automatic,1,0,998,68,5.0,463700
Maruti New Wagon-R,Maruti,Mumbai,2021,30981,CNG,Manual,1,0,998,58,5.0,583000
Maruti New Wagon-R,Maruti,Mumbai,2022,31378,Petrol,Manual,1,0,998,67,5.0,560000
Maruti Swift Dzire,Maruti,Mumbai,2013,120050,Diesel,Manual,1,0,1248,75,5.0,438000
Maruti S PRESSO,Maruti,Mumbai,2022,10815,Petrol,Manual,1,0,998,67,5.0,486000
Hyundai i10,Hyundai,Mumbai,2015,55760,Petrol,Manual,2,0,1086,69,5.0,294000
Maruti New Wagon-R,Maruti,Mumbai,2021,19528,Petrol,Manual,2,0,1197,83,5.0,516000
Maruti Wagon R 1.0,Maruti,Mumbai,2017,78285,Petrol,Automatic,1,0,998,68,5.0,375000
Mahindra XUV300,Mahindra,Mumbai,2022,11461,Diesel,Automatic,1,0,1497,117,5.0,1116000
Hyundai Xcent,Hyundai,Mumbai,2014,95827,Petrol,Manual,2,0,1197,83,5.0,353000
Maruti New Wagon-R,Maruti,Mumbai,2019,37678,Petrol,Manual,1,0,1197,83,5.0,467500
Maruti New Wagon-R,Maruti,Mumbai,2021,36188,CNG,Manual,1,0,998,58,5.0,595000
Toyota Corolla Altis,Toyota,Mumbai,2017,61520,Petrol,Automatic,1,0,1798,140,5.0,1021000
